reference_page,category,collapsible_menu,vertical_dark_menu,vertical_light_menu,decision,notes
app-blog-create.html,applications,yes,yes,yes,MERGE,Fusionar con BlogEditor; creación y edición comparten el mismo formulario configurable. Propiedad probable: aplicación Contenido/Blog.
app-blog-edit.html,applications,yes,yes,yes,MERGE,Fusionar con BlogEditor; no justifica una vista separada respecto a creación. Propiedad probable: aplicación Contenido/Blog.
app-blog-grid.html,applications,yes,yes,yes,MERGE,Fusionar con ContentCollection y una variante de vista en cuadrícula. Propiedad probable: aplicación Contenido/Blog.
app-blog-list.html,applications,yes,yes,yes,MERGE,Fusionar con ContentCollection y una variante de vista en lista. Propiedad probable: aplicación Contenido/Blog.
app-blog-post.html,applications,yes,yes,yes,ADAPT,Conservar como patrón diferenciado de detalle/lectura de contenido. Propiedad probable: aplicación Contenido/Blog.
app-calendar.html,applications,yes,yes,yes,ADAPT,Capacidad diferenciada y reutilizable para agenda y planificación. Propiedad probable: aplicaciones con programación/agenda.
app-chat.html,applications,yes,yes,yes,ADAPT,Capacidad diferenciada de conversación con lista de hilos y panel de mensajes. Propiedad probable: CRM/soporte/comunicación.
app-contacts.html,applications,yes,yes,yes,ADAPT,Conservar como directorio de contactos reutilizable con búsqueda y detalle contextual. Propiedad probable: CRM/contactos.
app-ecommerce-product-add.html,applications,yes,yes,yes,MERGE,Fusionar con ProductEditor; alta y edición comparten contrato de formulario. Propiedad probable: Comercio.
app-ecommerce-product-edit.html,applications,yes,yes,yes,MERGE,Fusionar con ProductEditor; no requiere vista independiente de la creación. Propiedad probable: Comercio.
app-ecommerce-product-list.html,applications,yes,yes,yes,ADAPT,Conservar como catálogo administrativo de productos basado en DataTable/List patterns. Propiedad probable: Comercio/Inventario.
app-ecommerce-product-shop.html,applications,yes,yes,yes,ADAPT,Conservar como catálogo comercial navegable en cards/grid. Propiedad probable: Comercio.
app-ecommerce-product.html,applications,yes,yes,yes,ADAPT,Conservar como detalle de producto reutilizable. Propiedad probable: Comercio.
app-invoice-add.html,applications,yes,yes,yes,MERGE,"Fusionar con InvoiceEditor; creación y edición comparten líneas, totales y formulario. Propiedad probable: Facturación."
app-invoice-edit.html,applications,yes,yes,yes,MERGE,Fusionar con InvoiceEditor; no justifica una vista separada. Propiedad probable: Facturación.
app-invoice-list.html,applications,yes,yes,yes,ADAPT,"Conservar como listado operativo de documentos con filtros, estados y acciones. Propiedad probable: Facturación."
app-invoice-preview.html,applications,yes,yes,yes,ADAPT,Conservar como vista de lectura/impresión de documento. Propiedad probable: Facturación.
app-mailbox.html,applications,yes,yes,yes,ADAPT,Conservar como patrón de bandeja de entrada de tres paneles o equivalente responsive. Propiedad probable: Comunicación.
app-notes.html,applications,yes,yes,yes,ADAPT,Conservar como notas organizables con búsqueda/etiquetas. Propiedad probable: Productividad.
app-scrumboard.html,applications,yes,yes,yes,ADAPT,Conservar como tablero Kanban reutilizable con columnas y tarjetas. Propiedad probable: Proyectos/CRM/operaciones.
app-todoList.html,applications,yes,yes,yes,ADAPT,Conservar como gestor de tareas compacto y reutilizable. Propiedad probable: Productividad/operaciones.
auth-boxed-2-step-verification.html,authentication,yes,yes,yes,ADAPT,Conservar el flujo 2FA como capacidad autenticada; diseño adaptado a Style 1. Propiedad probable: Auth.
auth-boxed-lockscreen.html,authentication,yes,yes,yes,ADAPT,Conservar bloqueo/reautenticación como flujo diferenciado. Propiedad probable: Auth.
auth-boxed-password-reset.html,authentication,yes,yes,yes,ADAPT,Conservar recuperación de contraseña como flujo diferenciado. Propiedad probable: Auth.
auth-boxed-signin.html,authentication,yes,yes,yes,MERGE,"Fusionar con LoginPage/AuthShell existente; la referencia informa composición, no una nueva ruta paralela."
auth-boxed-signup.html,authentication,yes,yes,yes,ADAPT,Conservar registro como flujo diferenciado cuando el producto consumidor lo habilite. Propiedad probable: Auth.
auth-cover-2-step-verification.html,authentication,yes,yes,yes,MERGE,"Fusionar con el mismo flujo 2FA; cover/boxed son variantes visuales, no capacidades distintas."
auth-cover-lockscreen.html,authentication,yes,yes,yes,MERGE,Fusionar con el mismo flujo de bloqueo; cover/boxed son variantes de presentación.
auth-cover-password-reset.html,authentication,yes,yes,yes,MERGE,Fusionar con el mismo flujo de recuperación; cover/boxed no justifican rutas duplicadas.
auth-cover-signin.html,authentication,yes,yes,yes,MERGE,Fusionar con LoginPage/AuthShell existente como posible variante de composición.
auth-cover-signup.html,authentication,yes,yes,yes,MERGE,"Fusionar con el mismo flujo de registro; la diferencia es de layout, no funcional."
charts-apex.html,charts,yes,yes,yes,MERGE,Extraer primitivas Chart/ChartCard y ejemplos documentados; no crear una página de producto exclusiva para Apex.
component-accordion.html,components,yes,yes,yes,MERGE,Extraer Accordion reutilizable y documentarlo en /components.
component-bootstrap-carousel.html,components,yes,yes,no,DISCARD,Ejemplo dependiente de Bootstrap y redundante frente al patrón Carousel propio.
component-cards.html,components,yes,yes,yes,MERGE,Extraer Card y composiciones de card reutilizables; documentar variantes.
component-carousel.html,components,no,no,yes,MERGE,Fusionar en un Carousel propio configurable y agnóstico de librería.
component-drag-drop.html,components,yes,yes,yes,MERGE,Extraer patrón DragDrop/Sortable reutilizable para listas y tableros.
component-flags.html,components,yes,yes,yes,DISCARD,Catálogo de assets de banderas de bajo valor como vista; añadir iconografía solo cuando una necesidad real lo requiera.
component-fonticons.html,components,yes,yes,yes,DISCARD,Demo de set de iconos del tema; WebBlueprint debe gobernar su propio sistema de iconografía.
component-lightbox.html,components,yes,yes,yes,MERGE,Extraer Lightbox/MediaViewer reutilizable y documentado.
component-list-group.html,components,yes,yes,yes,MERGE,Fusionar en primitivas List/ListItem con estados y acciones.
component-media-object.html,components,yes,yes,yes,MERGE,Fusionar en patrón MediaItem/ListItem con avatar/thumbnail y contenido.
component-modal.html,components,yes,yes,yes,MERGE,Extraer Modal/Dialog reusable con variantes y estados.
component-notifications.html,components,yes,yes,yes,MERGE,Fusionar en Toast/NotificationCenter y estados de feedback.
component-pricing-table.html,components,yes,yes,yes,MERGE,"Extraer PricingCard/PricingTable como composición reusable, no página obligatoria."
component-splide.html,components,yes,yes,yes,MERGE,"Fusionar con Carousel propio; Splide es una implementación, no una capacidad de producto."
component-sweetalert.html,components,yes,yes,yes,MERGE,Fusionar en Dialog/Confirm y feedback propio; evitar dependencia conceptual de SweetAlert.
component-tabs.html,components,yes,yes,yes,MERGE,Extraer Tabs reutilizable y documentado.
component-timeline.html,components,yes,yes,yes,MERGE,Extraer Timeline/ActivityFeed reutilizable.
element-alerts.html,elements,yes,yes,yes,MERGE,Extraer Alert/InlineFeedback con variantes semánticas.
element-avatar.html,elements,yes,yes,yes,MERGE,"Extraer Avatar con imagen, iniciales y fallback."
element-badges.html,elements,yes,yes,yes,MERGE,Extraer Badge/StatusBadge con variantes gobernadas.
element-breadcrumbs.html,elements,yes,yes,yes,MERGE,Extraer Breadcrumbs como patrón de navegación contextual.
element-buttons-group.html,elements,yes,yes,yes,MERGE,Fusionar con ButtonGroup dentro del sistema de botones.
element-buttons.html,elements,yes,yes,yes,MERGE,"Extraer Button con variantes, tamaños y estados."
element-color-library.html,elements,yes,yes,yes,MERGE,Integrar como tokens de color y documentación de Style 1; no página funcional independiente.
element-dropdown.html,elements,yes,yes,yes,MERGE,Extraer Dropdown/Menu reutilizable.
element-infobox.html,elements,yes,yes,yes,MERGE,Fusionar en InfoCard/Callout reusable.
element-loader.html,elements,yes,yes,yes,MERGE,Extraer LoadingIndicator/Skeleton según contexto.
element-pagination.html,elements,yes,yes,yes,MERGE,Extraer Pagination reusable para tablas/listados.
element-popovers.html,elements,yes,yes,yes,MERGE,Extraer Popover reutilizable.
element-progressbar.html,elements,yes,yes,yes,MERGE,Extraer Progress/ProgressBar reusable.
element-search.html,elements,yes,yes,yes,MERGE,Extraer SearchField/SearchBox reusable.
element-tooltips.html,elements,yes,yes,yes,MERGE,Extraer Tooltip reutilizable.
element-treeview.html,elements,yes,yes,yes,MERGE,Extraer TreeView reusable para jerarquías cuando un consumidor lo requiera.
element-typography.html,elements,yes,yes,yes,MERGE,"Integrar jerarquía tipográfica en tokens/documentación de Style 1, no como página independiente."
form-autoComplete.html,forms,yes,yes,yes,MERGE,Fusionar en ComboBox/Autocomplete reusable.
